owner,netid1,netid2,netid3,repo,grader,last seen,late
cx44,cx44,yx143,NA,git@gitlab.oit.duke.edu:cx44/erss-hwk1-cx44-yx143.git,Eevee,2019-02-07T22:57:22.443-05:00,1
wt57,wt57,zx53,NA,git@gitlab.oit.duke.edu:wt57/erss-hwk1-wt57-zx53.git,Yunjing,2019-02-07T02:25:10.213-05:00,1
yw314,yw314,fz49,NA,git@gitlab.oit.duke.edu:yw314/erss-hwk1-yw314-fz49.git,Nisarg,2019-02-07T13:26:01.569-05:00,1
zw154,zw154,zq24,NA,git@gitlab.oit.duke.edu:zw154/erss-hwk1-zw154-zq24.git,Alan,2019-02-07T02:18:39.716-05:00,1
gw82,gw82,zp33,NA,git@gitlab.oit.duke.edu:gw82/erss-hwk1-gw82-zp33.git,Hugo,2019-02-07T17:34:54.672-05:00,1
yz476,yz476,wc148,NA,git@gitlab.oit.duke.edu:yz476/erss-hwk1-yz476-wc148.git,Eevee,2019-02-06T21:38:08.867-05:00,0
ws146,ws146,hw210,NA,git@gitlab.oit.duke.edu:ws146/erss-hwk1-ws146-hw210.git,Yunjing,2019-02-06T21:16:27.985-05:00,0
qc36,qc36,fz48,NA,git@gitlab.oit.duke.edu:qc36/erss-hwk1-qc36-fz48.git,Nisarg,2019-02-06T21:00:38.189-05:00,0
wl177,wl177,nn75,NA,git@gitlab.oit.duke.edu:wl177/erss-hwk1-wl177-nn75.git,Alan,2019-02-06T22:47:40.950-05:00,0
hx54,hx54,xz233,NA,git@gitlab.oit.duke.edu:hx54/erss-hwk1-hx54-xz233.git,Hugo,2019-02-06T20:37:28.387-05:00,0
ld190,ld190,jc688,NA,git@gitlab.oit.duke.edu:ld190/erss-hwk1-ld190-jc688.git,Eevee,2019-02-06T22:11:59.286-05:00,0
yy227,zf29,yy227,NA,git@gitlab.oit.duke.edu:yy227/erss-hwk1-zf29-yy227.git,Yunjing,2019-02-06T20:34:45.064-05:00,0
kz75,sw404,kz75,NA,git@gitlab.oit.duke.edu:kz75/erss-hwk1-sw404-kz75.git,Nisarg,2019-02-06T20:27:44.892-05:00,0
hz147,rg239,hz147,NA,git@gitlab.oit.duke.edu:hz147/erss-hwk1-rg239-hz147.git,Alan,2019-02-06T21:31:32.209-05:00,0
yt134,zg50,yt134,NA,git@gitlab.oit.duke.edu:yt134/erss-hwk1-zg50-yt134.git,Hugo,2019-02-06T19:55:56.178-05:00,0
kw284,kw284,cw373,NA,git@gitlab.oit.duke.edu:kw284/erss-hwk1-kw284-cw373.git,Eevee,2019-02-07T01:06:51.524-05:00,1
lj142,lj142,rx29,NA,git@gitlab.oit.duke.edu:lj142/erss-hwk1-lj142-rx29.git,Yunjing,2019-02-06T20:33:53.308-05:00,0
xg51,xg51,fl94,NA,git@gitlab.oit.duke.edu:xg51/erss-hwk1-xg51-fl94.git,Nisarg,2019-02-06T20:57:54.569-05:00,0
jz270,yy225,jz270,NA,git@gitlab.oit.duke.edu:jz270/erss-hwk1-yy225-jz270.git,Alan,2019-02-06T17:27:56.449-05:00,0
wg72,NA,wg72,NA,git@gitlab.oit.duke.edu:wg72/mylyft.git,Hugo,2019-02-06T21:29:45.305-05:00,0
xy89,cj162,xy89,NA,git@gitlab.oit.duke.edu:xy89/erss-hwk1-cj162-xy89.git,Eevee,2019-02-07T18:10:07.516-05:00,1
aw343,yl543,aw343,NA,git@gitlab.oit.duke.edu:aw343/erss-hwk1-yl543-aw343.git,Yunjing,2019-02-06T14:05:13.995-05:00,0
cn104,cn104,ny32,NA,git@gitlab.oit.duke.edu:cn104/erss-hwk1-cn104-ny32.git,Nisarg,2019-02-06T12:44:59.186-05:00,0
cz125,cz125,ny38,NA,git@gitlab.oit.duke.edu:cz125/erss-hwk1-cz125-ny38.git,Alan,2019-02-06T21:18:22.867-05:00,0
xn15,yy226,xn15,NA,git@gitlab.oit.duke.edu:xn15/erss-hwk1-yy226-xn15.git,Hugo,2019-02-06T11:53:36.305-05:00,0
dgl9,dgl9,jg404,NA,git@gitlab.oit.duke.edu:dgl9/erss-hwk1-dgl9-jg404.git,Eevee,2019-02-05T18:37:30.910-05:00,0
yt114,yt114,wy48,NA,git@gitlab.oit.duke.edu:yt114/erss-hwk1-yt114-wy48.git,Yunjing,2019-02-06T17:31:23.897-05:00,0
yx139,yx139,yh218,NA,git@gitlab.oit.duke.edu:yx139/erss-hwk1-yx139-yh218.git,Nisarg,2019-02-06T15:41:23.052-05:00,0
rg241,xy91,rg241,NA,git@gitlab.oit.duke.edu:rg241/erss-hwk1-xy91-rg241.git,Alan,2019-02-04T23:58:30.380-05:00,0
kw283,NA,kw283,NA,git@gitlab.oit.duke.edu:kw283/myuber.git,Hugo,2019-02-07T00:22:51.796-05:00,1
